snapshot,carrier,region,components,components_t,attribute,value,status,aggregation
1/3/2021,LNG,KR,generators,generators_t,fuel_cost,82.837,FALSE,national
1/2/2021,nuclear,KR,generators,generators_t,fuel_cost,6.108,FALSE,national
1/2/2021,bituminous,KR,generators,generators_t,fuel_cost,45.389,FALSE,national
1/2/2021,anthracite,KR,generators,generators_t,fuel_cost,66.043,FALSE,national
1/2/2021,oil,KR,generators,generators_t,fuel_cost,149.173,FALSE,national
1/2/2021,LNG,KR,generators,generators_t,fuel_cost,75.996,FALSE,national
1/1/2021,nuclear,KR,generators,generators_t,fuel_cost,6.105,FALSE,national
1/1/2021,bituminous,KR,generators,generators_t,fuel_cost,44.466,FALSE,national
1/1/2021,anthracite,KR,generators,generators_t,fuel_cost,66.203,FALSE,national
1/1/2021,oil,KR,generators,generators_t,fuel_cost,139.941,FALSE,national
1/1/2021,LNG,KR,generators,generators_t,fuel_cost,70.456,FALSE,national
1/12/2020,nuclear,KR,generators,generators_t,fuel_cost,6.094,FALSE,national
1/12/2020,bituminous,KR,generators,generators_t,fuel_cost,44.656,FALSE,national
1/12/2020,anthracite,KR,generators,generators_t,fuel_cost,19.131,FALSE,national
1/12/2020,oil,KR,generators,generators_t,fuel_cost,139.686,FALSE,national
1/12/2020,LNG,KR,generators,generators_t,fuel_cost,65.848,FALSE,national
1/11/2020,nuclear,KR,generators,generators_t,fuel_cost,6.092,FALSE,national
1/11/2020,bituminous,KR,generators,generators_t,fuel_cost,46.927,FALSE,national
1/11/2020,anthracite,KR,generators,generators_t,fuel_cost,22.747,FALSE,national
1/11/2020,oil,KR,generators,generators_t,fuel_cost,154.801,FALSE,national
1/11/2020,LNG,KR,generators,generators_t,fuel_cost,50.672,FALSE,national
1/10/2020,nuclear,KR,generators,generators_t,fuel_cost,6.063,FALSE,national
1/10/2020,bituminous,KR,generators,generators_t,fuel_cost,48.061,FALSE,national
1/10/2020,anthracite,KR,generators,generators_t,fuel_cost,69.897,FALSE,national
1/10/2020,oil,KR,generators,generators_t,fuel_cost,168.583,FALSE,national
1/10/2020,LNG,KR,generators,generators_t,fuel_cost,50.217,FALSE,national
1/9/2020,nuclear,KR,generators,generators_t,fuel_cost,6.063,FALSE,national
1/9/2020,bituminous,KR,generators,generators_t,fuel_cost,49.073,FALSE,national
1/9/2020,anthracite,KR,generators,generators_t,fuel_cost,74.563,FALSE,national
1/9/2020,oil,KR,generators,generators_t,fuel_cost,169.894,FALSE,national
1/9/2020,LNG,KR,generators,generators_t,fuel_cost,55.204,FALSE,national
1/8/2020,nuclear,KR,generators,generators_t,fuel_cost,6.058,FALSE,national
1/8/2020,bituminous,KR,generators,generators_t,fuel_cost,50.91,FALSE,national
1/8/2020,anthracite,KR,generators,generators_t,fuel_cost,68.998,FALSE,national
1/8/2020,oil,KR,generators,generators_t,fuel_cost,174.426,FALSE,national
1/8/2020,LNG,KR,generators,generators_t,fuel_cost,63.831,FALSE,national
